date,killed,wounded,city,state,lat,lon
2013-08-25T00:00:00.000Z,2,2,Minneapolis,MN,44.9772995,-93.2654692
2013-08-25T00:00:00.000Z,3,2,Lake Butler,FL,30.0227391,-82.3395574
2013-08-25T00:00:00.000Z,0,4,Oakland,CA,37.8044557,-122.271356
2013-09-05T00:00:00.000Z,0,4,Charlotte,NC,35.2272086,-80.8430827
2013-09-07T00:00:00.000Z,2,4,Gary,IN,41.6020962,-87.3370647
2013-09-07T00:00:00.000Z,1,3,St. Louis,MO,38.6280278,-90.1910154
2013-09-10T00:00:00.000Z,1,4,Bridgeport,CT,41.1670412,-73.2048348
2013-09-11T00:00:00.000Z,4,0,Renegade Mountain,TN,35.8878904,-84.86479571462544
2013-09-11T00:00:00.000Z,0,4,New York,NY,40.7127281,-74.0060152
2013-09-11T00:00:00.000Z,1,3,Washington,DC,38.8950368,-77.0365427
2013-09-14T00:00:00.000Z,0,4,Marion,NC,32.7931661,-94.344488
2013-09-15T00:00:00.000Z,3,1,Snellville,GA,33.857328,-84.0199108
2013-09-15T00:00:00.000Z,0,6,Yakima,WA,46.601557,-120.510842
2013-09-15T00:00:00.000Z,2,2,Bakersfield,CA,35.3738712,-119.0194639
2013-09-15T00:00:00.000Z,0,4,Wilmington,DE,39.7459468,-75.546589
2013-09-15T00:00:00.000Z,0,5,Colorado Springs,CO,38.8339578,-104.825348
2013-09-16T00:00:00.000Z,13,3,Washington,DC,38.8950368,-77.0365427
2013-09-17T00:00:00.000Z,1,4,Stockton,CA,37.9577016,-121.2907796
2013-09-17T00:00:00.000Z,0,4,Lansing,MI,42.7337712,-84.5553805
2013-09-17T00:00:00.000Z,0,4,Las Vegas,NV,36.1672559,-115.148516
2013-09-18T00:00:00.000Z,0,5,Kissimmee,FL,28.2918995,-81.4075838
2013-09-18T00:00:00.000Z,1,4,Bakersfield,CA,35.3738712,-119.0194639
2013-09-18T00:00:00.000Z,1,4,Whitehaven,TN,35.0273144,-90.0292581
2013-09-19T00:00:00.000Z,0,13,Chicago,IL,41.8755616,-87.6244212
2013-09-20T00:00:00.000Z,2,2,Long Beach,CA,33.7690164,-118.191604
2013-09-20T00:00:00.000Z,5,0,Rice,TX,44.3413376,-93.2865484
2013-09-21T00:00:00.000Z,0,4,Palm Springs,FL,33.772179449999996,-116.49529769683983
2013-09-22T00:00:00.000Z,1,6,Witchita,KS,34.9500363,-94.6438452
2013-09-22T00:00:00.000Z,1,3,St. Louis,MO,38.6280278,-90.1910154
2013-09-22T00:00:00.000Z,3,1,Muskegon,MI,43.2341813,-86.2483921
2013-09-24T00:00:00.000Z,0,6,Huntington,WV,38.4192496,-82.445154
2013-09-25T00:00:00.000Z,0,4,Haw River,NC,36.091526,-79.3641862
2013-09-26T00:00:00.000Z,0,4,Jacksonville,FL,30.3321838,-81.655651
2013-09-27T00:00:00.000Z,4,0,Ashville,PA,33.8369216,-86.2549799
2013-09-29T00:00:00.000Z,0,4,Zanesville,OH,39.9403453,-82.0131924
2013-09-29T00:00:00.000Z,0,4,Chicago,IL,41.8755616,-87.6244212
2013-10-02T00:00:00.000Z,0,4,Omaha,NE,41.2587459,-95.9383758
2013-10-02T00:00:00.000Z,4,0,Double Springs,AL,34.1464916,-87.4022386
2013-10-05T00:00:00.000Z,1,13,Fresno,CA,36.7394421,-119.7848307
2013-10-06T00:00:00.000Z,0,4,Buffalo,NY,42.8867166,-78.8783922
2013-10-06T00:00:00.000Z,0,4,Avondale,AZ,33.4355977,-112.349602
2013-10-06T00:00:00.000Z,1,5,Philadelphia,PA,39.9527237,-75.1635262
2013-10-08T00:00:00.000Z,4,0,Paris,TX,33.6617962,-95.555513
2013-10-12T00:00:00.000Z,2,2,Tulsa,OK,36.1563122,-95.9927516
2013-10-12T00:00:00.000Z,0,5,Tulsa,OK,36.1563122,-95.9927516
2013-10-13T00:00:00.000Z,0,8,Harrisburg,PA,40.2663107,-76.8861122
2013-10-18T00:00:00.000Z,0,4,Margate,FL,26.2445263,-80.206436
2013-10-20T00:00:00.000Z,2,2,Miami,FL,25.7741728,-80.19362
2013-10-20T00:00:00.000Z,2,2,Reno,NV,39.5261206,-119.8126581
2013-10-20T00:00:00.000Z,2,4,Pittsburgh,PA,40.4416941,-79.9900861
2013-10-26T00:00:00.000Z,0,4,Miami Gardens,FL,25.9420377,-80.2456045
2013-10-26T00:00:00.000Z,1,3,Ridgecrest,CA,35.6206924,-117.6720975
2013-10-26T00:00:00.000Z,5,0,Phoenix,AZ,33.4484367,-112.074141
2013-10-26T00:00:00.000Z,1,5,New Haven,CT,41.3082138,-72.9250518
2013-10-27T00:00:00.000Z,1,4,Southern Pines,NC,35.1740471,-79.3922539
2013-10-27T00:00:00.000Z,1,6,Sacramento,CA,38.5810606,-121.493895
2013-10-27T00:00:00.000Z,0,4,Beaumont,TX,30.0860459,-94.1018461
2013-10-27T00:00:00.000Z,1,7,Vallejo,CA,38.1040864,-122.2566367
2013-10-27T00:00:00.000Z,1,4,Albuquerque,NM,35.0841034,-106.650985
2013-10-27T00:00:00.000Z,0,6,Roseville,CA,38.7521235,-121.2880059
2013-10-28T00:00:00.000Z,5,0,Terrell,TX,30.1990738,-102.0974881
2013-10-29T00:00:00.000Z,6,0,Callison,SC,34.0145697,-82.1256771
2013-10-31T00:00:00.000Z,2,2,Fayetteville,NC,36.0625843,-94.1574328
2013-11-02T00:00:00.000Z,1,3,Radcliff,KY,37.8403456,-85.9491298
2013-11-03T00:00:00.000Z,1,4,Los Angeles,CA,34.0536909,-118.242766
2013-11-04T00:00:00.000Z,0,5,Perris,CA,33.7825194,-117.2286478
2013-11-05T00:00:00.000Z,0,4,Washington,DC,38.8950368,-77.0365427
2013-11-05T00:00:00.000Z,3,7,Detroit,MI,42.3315509,-83.0466403
2013-11-05T00:00:00.000Z,1,3,Fresno,CA,36.7394421,-119.7848307
2013-11-07T00:00:00.000Z,4,0,Jacksonville,FL,30.3321838,-81.655651
2013-11-09T00:00:00.000Z,2,19,Cypress,TX,29.9691116,-95.6971686
2013-11-09T00:00:00.000Z,1,3,Phoenix,AZ,33.4484367,-112.074141
2013-11-10T00:00:00.000Z,4,1,Brooklyn,NY,40.6526006,-73.9497211
2013-11-10T00:00:00.000Z,1,3,Canton,OH,32.555664,-95.8640507
2013-11-12T00:00:00.000Z,4,0,Phoenix,AZ,33.4484367,-112.074141
2013-11-17T00:00:00.000Z,1,3,Houston,TX,29.7589382,-95.3676974
2013-11-20T00:00:00.000Z,3,2,Houston,TX,29.7589382,-95.3676974
2013-11-20T00:00:00.000Z,3,1,Miami,FL,25.7741728,-80.19362
2013-11-21T00:00:00.000Z,0,4,Philadelphia,PA,39.9527237,-75.1635262
2013-11-22T00:00:00.000Z,2,2,Columbus,OH,39.9622601,-83.0007065
2013-11-23T00:00:00.000Z,4,1,Tulsa,OK,36.1563122,-95.9927516
2013-11-23T00:00:00.000Z,4,0,Parsons,KS,37.3407838,-95.2596295
2013-11-24T00:00:00.000Z,1,3,Minneapolis,MN,44.9772995,-93.2654692
2013-11-25T00:00:00.000Z,0,7,Oakland,CA,37.8044557,-122.271356
2013-11-28T00:00:00.000Z,0,4,Rochester,NY,43.157285,-77.615214
2013-11-29T00:00:00.000Z,0,4,Indianapolis,IN,39.7683331,-86.1583502
2013-11-29T00:00:00.000Z,0,4,Fresno,CA,36.7394421,-119.7848307
2013-11-30T00:00:00.000Z,0,4,Valdosta,GA,30.8327022,-83.2784851
2013-11-30T00:00:00.000Z,0,5,Lansing,MI,42.7337712,-84.5553805
2013-12-01T00:00:00.000Z,4,0,Topeka,KS,39.049011,-95.677556
2013-12-01T00:00:00.000Z,2,2,Miami,FL,25.7741728,-80.19362
2013-12-02T00:00:00.000Z,1,3,Gary,IN,41.6020962,-87.3370647
2013-12-03T00:00:00.000Z,4,0,Alma,AL,39.016666,-96.289162
2013-12-03T00:00:00.000Z,0,4,Louisville,KY,38.2542376,-85.759407
2013-12-03T00:00:00.000Z,4,0,Erwin,TN,42.1316746,-77.1411609
2013-12-07T00:00:00.000Z,0,4,Wilmington,DE,39.7459468,-75.546589
2013-12-08T00:00:00.000Z,4,0,Manchester,CT,42.9956397,-71.4547891
2013-12-09T00:00:00.000Z,2,3,Miami-Dade,FL,25.6364246,-80.4989467
2013-12-13T00:00:00.000Z,1,3,Huntington,WV,38.4192496,-82.445154
2013-12-14T00:00:00.000Z,0,4,Statesville,NC,35.7826363,-80.8872959
2013-12-15T00:00:00.000Z,0,5,Channelview,TX,29.7760599,-95.1146533
2013-12-15T00:00:00.000Z,1,3,Florida City,FL,25.4480101,-80.479102
2013-12-17T00:00:00.000Z,2,2,Reno,NV,39.5261206,-119.8126581
2013-12-21T00:00:00.000Z,1,4,Trenton,NJ,40.2205944,-74.7597219
2013-12-22T00:00:00.000Z,0,4,Shelby,NC,31.7716364,-94.1301652
2013-12-22T00:00:00.000Z,1,3,Fruitland Township,MI,43.341207350000005,-86.3429902955771
2013-12-25T00:00:00.000Z,1,3,Medford,NY,42.4184296,-71.1061639
2013-12-25T00:00:00.000Z,3,2,Irvington,NJ,38.4391517,-89.1627456
