date,killed,city,state,lat,lon
2015-11-02T00:00:00.000Z,4,Pendleton,SC,38.6914606,-84.3689142
2015-11-04T00:00:00.000Z,4,Oakland,ME,37.8044557,-122.271356
2015-11-13T00:00:00.000Z,4,Jacksonville,FL,30.3321838,-81.655651
2015-11-13T00:00:00.000Z,3,Southern Region,CA,34.0218833,-118.28586662125
2015-11-15T00:00:00.000Z,6,Anderson County,TX,31.7819242,-95.6258199
2015-11-16T00:00:00.000Z,3,Cherokee County,AL,31.8390826,-95.1791849
2015-11-23T00:00:00.000Z,4,Columbus,OH,39.9622601,-83.0007065
2015-11-27T00:00:00.000Z,3,Colorado Springs,CO,38.8339578,-104.825348
2015-12-02T00:00:00.000Z,16,San Bernardino,CA,34.8253019,-116.0833144
2015-12-31T00:00:00.000Z,4,Rowland Heights,CA,33.9761238,-117.905339
2016-01-06T00:00:00.000Z,3,Lakeland,FL,28.0394654,-81.9498042
2016-01-23T00:00:00.000Z,3,Crestview,FL,30.7621326,-86.5705084
2016-01-27T00:00:00.000Z,6,Chesapeake,VA,36.7183708,-76.2466798
2016-01-30T00:00:00.000Z,3,Glendale,AZ,34.1469416,-118.2478471
2016-02-06T00:00:00.000Z,4,Uvalde,TX,29.300357,-99.7733181
2016-02-18T00:00:00.000Z,3,South Salt Lake,UT,40.7074741,-111.88827
2016-02-19T00:00:00.000Z,4,Edgerton,MO,43.872468,-96.128637
2016-02-21T00:00:00.000Z,6,Kalamazoo,MI,42.291707,-85.5872286
2016-02-23T00:00:00.000Z,5,Glendale,AZ,34.1469416,-118.2478471
2016-02-25T00:00:00.000Z,4,Hesston,KS,38.1385315,-97.4314857
2016-02-25T00:00:00.000Z,5,Belfair,WA,30.4674124,-91.1459397
2016-03-07T00:00:00.000Z,5,Kansas City,KS,39.100105,-94.5781416
2016-03-09T00:00:00.000Z,6,Wilkinsburg,PA,40.4418068,-79.8819609
2016-03-20T00:00:00.000Z,4,Louisville,KY,38.2542376,-85.759407
